mailingAddr1,totalActualVal
3581 HARTLEE TRACE,121100
13833 W 66TH WY,198300
6351 S JACKSON ST,187300
3636 BLUE BIRD CANYON RD,25500
2970 N LAKESHORE DR #19BC,6000
2970 N LAKESHORE DR #19BC,79200
2970 N LAKESHORE DR 19BC,400
4615 S GALAPAGO ST,53900
6720 LAKEVIEW DR,70500
3725 BIG BEND RD NE,166600
1414 HAUSER BLVD,231400
3701 CHEVY CHASE DR,158300
2521 NW 104 AVE #103,93200
7555 BULMORE RD,138500
7555 BULMORE RD,13900
2884 W RIVERWALK CIR #A,146100
2334 S BALSAM LN,79200
12806 W 78TH CR,134400
18048 COLUMBIA DR,239200
1620 S QUEBEC WAY #2,132200
7720 TEJON ST,111100
5008 FOUNTAINHEAD DR,153100
5008 FOUNTAINHEAD DR,153100
5008 FOUNTAINHEAD DR,153100
5008 FOUNTAINHEAD DR,153100
1305 7TH ST,168700
BETTY J TAYLOR REV TRUSTS,182300
4440 S LOGAN ST,111100
877 N GREELEY AVE,111600
104 W SUNFLOWER AVE,117500
180 BONSEN CT,108700
550 N LINCOLN AVE,112200
13344 COUNTY ROAD 28,194400
PO BOX 121,271500
1591 ASPEN ST,2600
2970 N LAKE SHORE DR 19-BC,545300
35 E DAYTON AVE,83400
PO BOX 908,99200
&  ROYCE C WALZ TRUSTS 1/2,22100
2939 BREWSTER CT,22100
2939 BREWSTER CT,22100
2939 BREWSTER CT,179400
2939 BREWSTER CT,179400
2939 BREWSTER CT,496110
2939 BREWSTER CT,496110
PO BOX 162,77500
PO BOX 162,77500
PO BOX 162,77500
20113 PATRIOT WY,132600
318 1/2 WHEDBEE ST,16
1401 WEWATTA ST #906,133900
PO BOX 189,139200
11262 QUIVAS LP,164400
650 IRIS AVE,21300
650 IRIS AVE,87000
2396 PINE ST APT 103,552000
11324 GREY ST,178300
1541 GENESSEE RIDGE RD,4100
4877 BENTON ST,600
4877 BENTON ST,28200
7402 PEMBROKE CT,90000
1222 CRESCENT DR,93600
3909 NAVASOTA,100800
5001 W COUNTY ROAD 4,215600
PO BOX 331,494700
8735 N FOOTHILLS HWY,948200
20 LEFT HAND CANYON DR,400000
20 LEFT HAND CANYON DR,400000
20 LEFT HAND CANYON DR,400000
1777 BROADWAY,288000
6859 N FOOTHILLS HWY STE D-200,336000
8450 N FOOTHILLS HWY,218200
372 LEFTHAND CANYON DR,943400
1750 30TH ST 301,65000
1844 WESTWIND RD,500
1844 WESTWIND RD,100
132 WILLOW CIRCLE DRIVE,58000
1750 30TH ST UNIT 301,257500
P O BOX 471,352000
1750 30TH ST 301,65000
315 ARAPAHOE RD UNIT 204,27500
8531 N FOOTHILLS HWY,263600
7373 OLDE STAGE RD,235900
8230 N FOOTHILLS HWY,147500
510 OCEAN DR - #PH1,385900
1934 LEFTHAND CANYON DR,524100
7474 QUEEN CIR,362600
ANNA DENNEY GOODNOW TRUST,450500
ANNA DENNEY GOODNOW TRUST U/A,414800
8450 N FOOTHILLS HWY,180200
P O BOX 471,480000
P O BOX 471,480000
P O BOX 471,2775800
P O BOX 471,800000
P O BOX 471,884600
P O BOX 471,945000
P O BOX 471,2557500
P O BOX 471,521200
P O BOX 471,400000
3505 NEBO RD,792
18 E COLLINS,480
18 E COLLINS,256100
MUNICIPAL BUILDING,1700
7497 N FOOTHILLS HWY,100
3507 NEBO RD,1678700
P O BOX 791,482000
7384 N FOOTHILLS HWY,922800
PO BOX 2368,390900
PO BOX 564,69800
PO BOX 1309,1400
4711 GAMBLE GULCH RD,53100
4619 TEJON ST,130000
1404 DEAN ST,98300
UNKNOWN ADDRESS,100
2267 S EASTOVER ST,1600
2920 S IVANHOE ST,84400
1218 LEFTHAND CANYON DR,293100
3487 NEBO RD,1306300
1450 REMBRANDT RD,1266500
PO BOX 95,76000
1750 30TH ST 301,12400
2525 ARAPAHOE AVE E4-456,11700
4 GARDEN CENTER STE 200,29100
3809 PASEO DEL PRADO,35300
P O BOX 791,261500
1692 EAST 6TH,21300
1324 CARLENE DR,88700
1453 COUNTY RD 83,410000
376 LEFTHAND CANYON DR,265000
2712 S JACOB ST,17300
2452 S NEWBERRY CT,51200
2452 S NEWBERRY CT,51200
2452 S NEWBERRY CT,51200
318 1/2 WHEDBEE ST,960
318 1/2 WHEDBEE ST,160000
5047 GEORGETOWN DR,265000
998 CHERRYVALE RD,82600
998 CHERRYVALE RD,82600
PO BOX 857,336100
PO BOX 17998,1192
1221 LEFTHAND CANYON DR,402800
998 LYNX LOOP NE,1200
998 LYNX LOOP NE,1008
PO BOX 471,20000
998 LYNX LOOP NE,2000
PO BOX 471,100000
17825 S.AVENIDA VALLE VERDE DEL NORT,1300
PO BOX 471,6300
P O BOX 1469,700
681 FINDLEY CT,1700
PO BOX 621,600
PO BOX 176,1400
344 DELFERN,1075000
2930 N LAKERIDGE TR,1396200
DAN WILLIAM JAMES II,769400
3030 N LAKERIDGE TR,1021200
2881 N LAKERIDGE TRL,903100
2820 N LAKERIDGE TR,1335100
2938 S LAKERIDGE TRL,622300
9193 PINE RIDGE LN,650000
2759 S LAKESHORE TRAIL,986900
3081 N LAKERIDGE TR,490600
2800 N LAKERIDGE TRL,757700
2861 N LAKERIDGE TRL,637900
9183 PINE RIDGE LN,531600
MACSALKA TRUST 50 PER EACH,962100
2981 N LAKERIDGE TRL,682800
2899 S LAKERIDGE TRL,722700
P O BOX 18328,526600
2729 S LAKERIDGE TRL,420400
3010 N LAKERIDGE TRL,712300
2980 N LAKERIDGE TRL,1097000
3071 N LAKERIDGE TRL,499800
2955 VALMONT RD STE 230,0
3068 S LAKERIDGE TRL,501400
3028 S LAKERIDGE TRL,573300
TRTES OF TH WYCOFF FAMILY TRUS,966200
3008 S LAKERIDGE TRL,677900
2998 S LAKERIDGE TRL,615300
2988 S LAKERIDGE TR,659900
2978 S LAKERIDGE TRL,629300
2968 S LAKERIDGE TRL,841600
2958 S LAKERIDGE TRAIL,1126600
2868 S LAKERIDGE TR,666200
2858 S LAKERIDGE TRL,514400
1727 BLUEBELL AVE,782700
2838 S LAKERIDGE TRL,635600
2808 S LAKERIDGE TR,876000
2728 S LAKERIDGE TR,687300
2718 S LAKERIDGE TRL,557800
2708 S LAKERIDGE TRL,544500
2721 N LAKERIDGE TR,747300
2741 N LAKERIDGE TRL,703700
2761 N LAKERIDGE TRL,724200
2841 N LAKERIDGE TRL,521100
2729 S LAKERIDGE TRL,541700
2979 S LAKERIDGE TRL,948300
2868 S LAKERIDGE TRL,1099800
2868 S LAKERIDGE TRL,1099800
3049 S LAKERIDGE TRL,958300
3089 S LAKERIDGE TRL,1259000
3090 N LAKERIDGE TRL,1145800
3080 N LAKERIDGE TRL,820400
3070 N LAKERIDGE TR,1106500
3060 N LAKERIDGE TRL,1009700
3060 N LAKERIDGE TRL,1009700
3050 N LAKERIDGE TRL,850900
2919 S LAKERIDGE TRL,896200
2840 N LAKERIDGE TR,873900
9154 PINE RIDGE LN,501900
9163 PINE RIDGE LN,810400
915 AMANDA DR,759900
2840 N LAKERIDGE TR,1375000
2949 S LAKERIDGE TRL,859800
2955 VALMONT RD STE 230,0
3001 N LAKERIDGE TRL,535400
2959 S LAKERIDGE TRL,839300
2959 S LAKERIDGE TRL,839300
2888 S LAKERIDGE TRL,683600
2779 S LAKERIDGE TRL,894800
2779 S LAKERIDGE TRL,894800
2929 S LAKERIDGE TRL,1269200
2961 N LAKERIDGE TRL,671100
NORMA LUCILLE SCHULTZ TRUST,717900
3021 N LAKERIDGE TRL,732900
3021 N LAKERIDGE TRL,732900
10128-B AIRPORT CT,525600
9143 PINE RIDGE LN,633500
2950 N LAKERIDGE TRL,718300
2769 S LAKERIDGE TRL,1150000
2901 N LAKERIDGE TRL,800000
8373 LARKSPUR RD,606500
9086 THUNDERHEAD DR,552900
7682 34TH CT,581500
REAL ESTATE & OPEN SPACE,16800
8344 STONERIDGE TER,424400
2044 IVY ST,335000
8494 WEST FORK RD,444700
8417 N FOOTHILLS HWY,365200
8417 N FOOTHILLS HWY,365200
1777 BROADWAY,59000
2936 MIDDLE FORK RD,891300
2886 MIDDLE FORK RD,417000
1359 GREENING AVE,436400
8444 STONERIDGE TER,505300
7603 32ND ST,468300
7675 35TH ST,553600
9132 THUNDERHEAD DR,496800
8423 STONERIDGE TER,647000
8523 THUNDERHEAD DR,520300
2626 CRESTRIDGE CT,554700
2756 CRESTRIDGE CT,590200
,600
2706 CRESTRIDGE CT,439000
225 LEFTHAND CANYON DR,385000
8796 STREAMCREST DR,406800
8776 STREAMCREST DR,480000
8756 STREAMCREST DR,452000
8746 STREAMCREST DR,427800
3027 MIDDLE FORK RD,379500
PO BOX 173779,2100
1777 BROADWAY,9200
1777 BROADWAY,17200
7570 N FOOTHILLS HWY,485000
8095 N FOOTHILLS HWY,331500
8554 WEST FORK RD,400500
8323 THUNDERHEAD DR,479900
1777 BROADWAY,8600
9013 THUNDERHEAD DR,522100
8384 LARKSPUR RD,376000
7679 34TH CT,590000
8463 STONERIDGE TER,378200
9156 THUNDERHEAD DR,547400
200 LEFTHAND CANYON DR,399100
8230 N FOOTHILLS HWY,192900
8623 MIDDLE FORK RD,451800
8674 MIDDLE FORK RD,407300
LORRAINE S LEENIG,446100
104 REDFISH CT,440900
1035 N KENILWORTH,422500
8444 WEST FORK RD,534900
2685 CRESTRIDGE CT,276000
280 RIVERSIDE DR 11A,706900
7993 N FOOTHILLS HWY,192900
9147 THUNDERHEAD DR,594400
845 LEFTHAND CANYON DR,322600
8409 N FOOTHILLS HWY,312300
8464 STONERIDGE TER,478500
2652 CRESTRIDGE CT,367300
8393 STONERIDGE TER,456600
8494 STONERIDGE TER,635700
8664 MIDDLE FORK RD,446800
3505 NEBO RD,150000
PO BOX 5132,225700
GRAND RUE 25,454500
9055 THUNDERHEAD DR,576500
9055 THUNDERHEAD DR,576500
2671 CRESTRIDGE CT,411800
2671 CRESTRIDGE CT,411800
2647 CRESTRIDGE CT,596800
2717 CRESTRIDGE CT,380000
2717 CRESTRIDGE CT,380000
8618 THUNDERHEAD DR,403500
8684 THUNDERHEAD DR,496000
8684 THUNDERHEAD DR,496000
3262 NEBO RD,507000
2586 CRESTRIDGE CT,418100
8563 MIDDLE FORK RD,444500
8414 STONERIDGE TER,389100
8354 MIDDLE CREST RD,134000
8534 WEST FORK RD,444700
8424 THUNDERHEAD DR,295000
7877 MIDDLE FORK RD,487800
8323 LARKSPUR RD,508600
8343 LARKSPUR RD,385600
8785 STREAMCREST DR,178000
8795 STREAMCREST DR,421000
8407 N FOOTHILLS HWY,303500
8354 LARKSPUR RD,417600
PO BOX 791,462700
4291 PRADO DR,548000
8323 WEST FORK RD,421100
8374 STONERIDGE TER,441900
2080 PEARL ST,425100
12640 JAY RD,250000
903 POMEROY,954
246 LEFTHAND CANYON DR,368400
2291 ARAPAHOE AVE,850000
2291 ARAPAHOE AVE,850000
PO BOX 20530,1076700
2617 CRESTRIDGE CT,366500
7639 N 35TH ST,468800
3061 FOOTHILLS RANCH DR,785300
3018 S LAKERIDGE TR,539800
3495 NEBO RD,635300
2567 CRESTRIDGE CT,502200
12548 JAY RD,404300
13640 STONEY BROOK LN,453500
3259 NEBO RD,560800
3259 NEBO RD,560800
8393 LARKSPUR RD,578900
8444 THUNDERHEAD DR,387700
8443 MIDDLE FORK RD,399600
8483 MIDDLE FORK RD,448400
8454 THUNDERHEAD DR,422500
7360 OLDE STAGE RD,447000
PO BOX 622,280000
2666 CRESTRIDGE CT,371200
8355 STONERIDGE TER,5300
3401 NEBO RD,2376
3401 NEBO RD,329300
755 EAST MULBERRY AVE,700
8493 STONERIDGE TER,251800
8765 STREAMCREST DR,172200
2797 MIDDLE FORK RD,557500
2797 MIDDLE FORK RD,726
8765 STREAMCREST DR,2075
8765 STREAMCREST DR,721
8483 STONERIDGE TER,484600
8696 STREAMCREST DR,241700
7973 MIDDLE FORK RD,389000
1093 A1A BEACH BLVD APT 272,871500
PO BOX 18028,518900
8473 STONERIDGE TER,453500
8343 WEST FORK RD,300100
8696 STREAMCREST DR,262200
2566 CRESTRIDGE CT,494300
3160 NEBO RD,553300
8344 WEST FORK RD,414100
429 LEFTHAND CANYON DR,302800
429 LEFTHAND CANYON DR,302800
7646 34TH CT,664300
3201 NEBO RD,433100
3201 NEBO RD,4606
8484 STONERIDGE TER,360700
4423 E COUNTY LINE RD,287000
4375 E COUNTY LINE RD,471700
7655 34TH CT,490100
8403 WEST FORK RD,369800
LAURENCE FREDRICK FLINT,483900
760 12TH ST,515600
2627 CRESTRIDGE CT,495500
8364 WEST FORK RD,445000
1511 S WASHINGTON ST,525300
1511 S WASHINGTON ST,525300
8584 MIDDLE FORK RD,468300
8394 LARKSPUR RD,446300
1030 UNION AVE,629100
8383 THUNDERHEAD DR,460000
8383 THUNDERHEAD DR,460000
8423 THUNDERHEAD DR,471400
8423 THUNDERHEAD DR,471400
8443 THUNDERHEAD DR,466300
8443 THUNDERHEAD DR,466300
8463 THUNDERHEAD DR,508000
8483 THUNDERHEAD DR,460000
9042 THUNDERHEAD DR,543300
8363 WEST FORK RD,461800
8383 WEST FORK RD,441900
8364 STONERIDGE TER,561200
8554 THUNDERHEAD DR,390600
8484 THUNDERHEAD DR,474800
8474 THUNDERHEAD DR,399400
8384 THUNDERHEAD DR,544500
2606 S JOYCE ST,431600
8423 MIDDLE FORK RD,395000
8423 MIDDLE FORK RD,395000
8423 MIDDLE FORK RD,395000
8503 MIDDLE FORK RD,476400
PO BOX 18326,500400
8543 MIDDLEFORK RD,443300
8364 LARKSPUR RD,430000
8354 MIDDLE CREST RD,589400
8384 MIDDLE CREST RD,360000
8353 MIDDLE FORK RD,570300
8323 MIDDLE FORK RD,387400
31466 COLORADO RIVER RD,554600
256 LEFTHAND CANYON DR,320700
7803 N FOOTHILLS HWY,459400
236 LEFTHAND CANYON DR,563100
236 LEFTHAND CANYON DR,563100
8324 WEST FORK RD,432000
8543 WEST FORK RD,389400
8283 N FOOHILLS HWY,607600
4433 EAST COUNTY LINE RD,350500
3232 NEWMARK DR,411400
8324 LARKSPUR RD,632300
8725 STREAMCREST DR,260600
3980 BROADWAY STE 103,613200
1777 BROADWAY,120000
1777  BROADWAY,345300
1777  BROADWAY,16000
1777 BROADWAY,20000
1777 BROADWAY,20000
1777  BROADWAY,16000
1777  BROADWAY,16000
1777  BROADWAY,16000
1777  BROADWAY,16000
1777 BROADWAY,20000
1777  BROADWAY,16000
1777  BROADWAY,16000
1777  BROADWAY,16000
1777 BROADWAY,20000
1777 BROADWAY,27900
1777 BROADWAY,166800
PO BOX 19131,540200
7681 32ND ST,548900
4523 NE COUNTY LINE RD,387900
12589 JAY RD,296300
4465 NE COUNTY LINE RD,446900
4465 NE COUNTY LINE RD,446900
12590 JAY RD,300400
PO BOX T,261000
PO BOX T,374800
P O BOX 471,290000
27732 OLD HIGHWAY 18,11144
2734 E WINDSONG DR,1447100
4007 W 20TH ST,363500
807 RUE AVE,348000
6001 LE LAC RD,1983900
1860 SPRUCE DRIVE,268300
PO BOX T,450000
3785 MEADE STREET,358300
14567 FENTON ST,283800
PATIO MOBILE HOME - OFFICE,327700
608 PEARL ST,315600
PO BOX 1330,100
P O BOX 471,206200
118 SEASHELL CT,500
P O BOX 471,1894000
5352 OAK TREE CT,439700
891 COLUMBIA PL,687600
852 COLUMBIA PL,497800
7763 FERRIS WAY,413300
824 ROCKWAY PL,651400
838 ROCKWAY PL,491700
801 COLUMBIA PL,1775000
919 COLUMBIA PL,545700
1015 COLUMBIA PL,516900
876 DEARBORN PL,443200
MARJORIE L GUNTER RIKSHEIM,646400
898 PIMLICO CT,666000
7877 ANDREWS WAY,730900
7856 ARLINGTON DR,460900
7826 ARLINGTON DR,604800
1078 MARBLE CT,760300
1068 MARBLE CT,616900
1067 MARBLE CT,739300
1077 MARBLE CT,779500
1078 DIAMOND CT,690300
1077 DIAMOND CT,599200
7885 ARLINGTON DR,591100
560 BROOMSTICK HILL RD,591100
7845 ARLINGTON DR,642400
7845 ARLINGTON DR,642400
1134 MARBLE DR,657700
1031 COLUMBIA PL,565400
1031 COLUMBIA PL,565400
7764 JADE CT,571200
873 COLUMBIA PL,575900
1057 COLUMBIA PL,488000
7760 FERRIS WAY,476800
7784 FERRIS WAY,376400
7621 ARLINGTON DR,401900
819 ROCKWAY PL,455800
1044 DEARBORN PL,480500
768 ROCKWAY PL,741600
7831 RAVEN CT,501100
704 7TH AVE NW,469000
7846 RAVEN CT,544200
818 COLUMBIA PL,543600
1056 COLUMBIA PL,489000
7741 FERRIS WAY,376400
857 COLUMBIA PL,466100
7859 RAVEN CT,511800
P O BOX 3593,406800
721 GLENHAVEN CT,451700
866 COLUMBIA PL,487100
825 ROCKWAY PL,500000
7723 ARLINGTON DR,621400
7716 JADE CT,583300
7785 ANDREWS WY,567900
7827 ANDREWS WAY,476800
7832 SCENIC DR,541300
7852 SCENIC DR,562700
7872 SCENIC DR,636100
7892 SCENIC DR,687000
7892 SCENIC DR,687000
888 ROCKWAY PL,487500
7816 ANDREWS WAY,462400
7891 SCENIC DR,670900
7871 SCENIC DR,543600
7851 SCENIC DR,557200
985 SARATOGA CT,562700
975 SARATOGA CT,492700
965 SARATOGA CT,677700
998 SARATOGA CT,584700
7846 ANDREWS WAY,653800
877 PIMLICO CT,501100
858 PIMLICO CT,532400
878 PIMLICO CT,508600
2705 UNIVERSITY HEIGHTS AVE,522100
7753 ARLINGTON DR,659500
7773 ARLINGTON DR,607500
1333 MARBLE DR,790600
PO BOX 21510,564200
7766 ARLINGTON DR,839300
7786 ARLINGTON DR,535600
861 ROCKWAY PL,602500
7775 ANDREWS WAY,432900
7831 SCENIC DR,608100
JANICE KEYSER SHERMAN,757000
2525 ARAPAHOE AVE E4-197,525900
756 GLENHAVEN CT,432500
7750 JADE CT,450000
7742 FERRIS WAY,618800
7742 FERRIS WAY,618800
964 COLUMBIA PL,503000
869 DEARBORN PL,408200
869 DEARBORN PL,408200
778 GLENHAVEN CT,571600
778 GLENHAVEN CT,571600
936 DEARBORN PL,517000
7772 FERRIS WAY,546400
7634 FERRIS WAY,464700
761 GLENHAVEN CT,510000
1893 SADDLEBACK LN,408600
933 COLUMBIA PL,668800
737 GLENHAVEN CT,506700
7720 FERRIS WAY,506300
7673 ARLINGTON DR,499500
891 ROCKWAY PL,553900
732 GLENHAVEN CT,572800
1049 DEARBORN PL,541300
1022 DEARBORN PL,439500
841 ROCKWAY PL,709900
967 COLUMBIA PL,619900
7732 JADE CT,466100
940 COLUMBIA PL,766800
7645 ARLINGTON DR,438200
1777 BROADWAY,351000
PO BOX 791,746700
PO BOX 1330,3200
1217 BROOKVIEW AVE,401000
3224 BILLINGTON DR,247800
1777 BROADWAY,2240000
7077 WINCHESTER CIR,1684000
5571 HOMESTEAD WAY,470100
OFFICE OF DEVELOPMENT,600
3893 JACOB RD,600
PO BOX 566,18000
2291 ARAPAHOE AV,1200000
PO BOX T,384000
1032 RIDGLEA WAY,471200
1265 CHINOOK WY,628800
P O BOX 943,50000
672 W PRINCETON AVE,351400
120 TAYLOR ST,157500
PO BOX 584,5400
PO BOX 584,151400
PO BOX 584,9900
PO BOX 187,282600
1340 6TH ST,308700
183 WHITE HOUSE DR,230500
4296  LOOKOUT  DR,157500
550 N KINGSBURY ST STE 308,248700
9595 PECOS ST APT 635,257500
PO BOX 416,581100
4822 S KENWOOD AVE,340000
2324 IRWIN ST,178300
2324 IRWIN ST,178300
14305 N COUNTRY ROAD 7,75300
6795 W 97TH PL,141200
631 SKINNER RD,260000
PO BOX 462,292200
708 COUNTY RD 90,270500
815 CENTRAL ST,175000
814 W KACHINA TRL,213900
1020 W RIO GUAYMAS,294800
4309 LANARK AVE,270500
2034 26TH AVE,181700
335 ROCKHILL DR,266100
3246 ALKIRE WAY,111900
547 PAMELA,72700
547 PAMELA,156700
1730 TRAILWOOD DR,114500
10552 ASHFIELD ST,144400
10552 ASHFIELD ST,144400
2600 TORREY PINES RD B-29,254100
5354 W 81ST PL,184400
5354 W 81ST PL,184400
1025 METCALFE RD,200000
& LORI JEAN KINCH & ET AL,204400
6359 S VAN GORDON ST,193100
810 HARTFORD DR,49600
PO BOX 488,404400
704 HIGHLAND PL,432800
1250 HUMBOLDT ST APT 1101,334800
9020 DAVENRICH ST,220300
ALLEN REVOCABLE TRUST 1/2 INT,212200
3421 FONT HILL DR,492500
458 COUNTY RD 90,103000
1340 6TH ST,55300
5801 E 6TH AVE,2000
16775 COUNTY ROAD 362,58100
PO BOX 344,355100
620 COUNTY RD 90,141700
PO BOX 943,261700
PO BOX 4,138300
PO BOX 4,255600
1325 OLIVE ST,56200
255 COUNTY ROAD 101,375600
MARY ELIZABETH MARSHALL,459100
PO BOX 26,240000
PO BOX 337,2800
P O BOX 337,59500
P O BOX 337,224400
P O BOX 337,2700
9925 LA HONTON DR,397500
2649 JACKSON RD,213100
4470 28TH ST,98800
2701 WILLOW ST,125300
2701 WILLOW ST,125300
971 HEMLOCK DR,227800
3208 69TH AVE PL,351400
828 S ALKIRE ST,333900
11983 PEAK TO PEAK HY,302400
9685 BROOK HILL AVE,360900
5299 WATERSTONE DR,748700
1717 IRIS AVE,56100
2645 BRIARWOOD DR,408000
PO BOX 11,360000
P O B OX 261,367000
9153 YARROW ST UNIT 1418,337500
9153 YARROW ST UNIT 1418,337500
807 RIDER ST,251400
P O BOX 471,218000
28 LA CUESTA DR,388500
1345 BELLEMEADE LANE,112200
242 MANOR DR,188000
HELEN F DONAHUE TRUST ETAL,7600
1235 WINDSOR WAY,268700
1615 SUNNYVALE ST,164400
10707 LANDALE ST UNIT12,109200
8985 TAHOE LN,238300
HELEN F DONAHUE TRUST ETAL,7600
PO BOX 454,42600
ROBERT C &MARILYN E BARUTH JT LVG TR 1/2,160900
5670 EVERETT ST,69500
PO BOX 206,75500
PO BOX 206,75500
4516 E VERMONT AVE,208600
PO BOX 4460,213900
4040 MOHAWK ST,137700
P O BOX 345,347600
4040 MOHAWK ST,61200
4040 MOHAWK ST,154800
4040 MOHAWK ST,159100
4040 MOHAWK ST,15300
11845 PEACH RIDGE RD,406100
10541 Y ST,179200
10 WAGENER RD,220900
179 MAIN ST,226100
PO BOX 384,167800
312 ARLENE DR,74400
629 S 7TH AVE,69400
3350 W 111 DR,138300
6084 CHEYENNE RIDGE LN,80000
610 MAPLE HILL DR,297500
610 MAPLE HILL DR,297500
5825 S CROCKER ST,98600
5825 S CROCKER ST,98600
PO BOX 5,274800
416 MARCELLINA DR,237500
3410 EMERSON AVE,191400
6688 GUNPARK DRIVE,2700
SUSAN E SADOWSKE,105300
PO BOX 758,84400
PO BOX 584,5900
8540 E MCDOWELL RD UNIT 70,181700
8540 E MCDOWELL RD UNIT 70,181700
8540 E MCDOWELL RD UNIT 70,181700
8540 E MCDOWELL RD UNIT 70,181700
22860 BOB WHITE DR,162600
22860 BOB WHITE DR,162600
22860 BOB WHITE DR,162600
22860 BOB WHITE DR,162600
22860 BOB WHITE DR,162600
22860 BOB WHITE DR,162600
PO BOX 325,59500
4408 PINE ST,65500
6688 GUNPARK DRIVE,126100
349 N 4TH,268700
500 HAWTHORNE DR,200
500 HAWTHORNE DR,300
2407 HOLLINGBOURNE DR,200900
2407 HOLLINGBOURNE DR,200900
1075 YOUNGFIELD ST,63400
1084 GRANT PL,5000
217 RIDGE COUNTRY RD,59500
1346 ST PAUL ST,207000
16803 PEAK TO PEAK HWY,292200
MARY JANE HENDERSON LIV TR,140900
PO BOX 473,527800
320 N HALSTEAD ST STE 210,331400
PO BOX 443,35000
8540 E MCDOWELL RD UNIT 70,190500
8540 E MCDOWELL RD UNIT 70,190500
8540 E MCDOWELL RD UNIT 70,190500
8540 E MCDOWELL RD UNIT 70,190500
8540 E MCDOWELL RD UNIT 70,175600
8540 E MCDOWELL RD UNIT 70,175600
8540 E MCDOWELL RD UNIT 70,175600
8540 E MCDOWELL RD UNIT 70,175600
8540 E MCDOWELL RD UNIT 70,175600
3203 4TH ST,265300
2725 S XANADU WAY,218300
1001 CHESTNUT ST,253100
320 N HALSTEAD ST STE 210,1089200
717 S 25TH CT,202600
3000 GRAND APT 907,24900
7966 S MADISON WY,277500
1365 ZURICH TER,185300
PO BOX 24,295000
4931 HIGHLAND AVE,191400
1023 MACDAVIDSON CIR,69100
PO BOX 33,546100
PO BOX 7,860000
5330 E 6TH AVE,118700
PO BOX 25287,245000
NATIONAL PARK SERVICE,236500
10897 BELMONT ST,226100
PO BOX 158,14300
PO BOX 158,217400
PO BOX 158,5900
& CRETE C WOOD,71400
& CRETE C WOOD,238300
8143 KEARNEY CT,178300
1116 WEST COLUMBIA AVE 3W,54800
2043 CRESTVUE CIR,173100
1586 MEACHUM WAY,188000
218 HILL AV,80900
PO BOX 104,12000
PO BOX 293,167000
PO BOX 81,260900
7532 S ESTES CT,199200
5276 WILLIT ST,291000
75 TAHOSA PARK NORTH RD,111000
14890 E WAGON TRAIL DR,37800
4633 JAMESTON ST,277500
PO BOX 2044,240900
281 TALL TREE HILL,259200
2923 ARBOR ST,105400
PO BOX 24,481
PO BOX 391,456100
PO BOX 29,127800
1850 FOLSOM ST APT 709,315600
40 RIVERVIEW AVE,59500
PO BOX 86,382600
6688 GUNPARK DRIVE,151400
PO BOX 476,370500
PO BOX 375,292200
453 CLUBHOUSE CT,151700
PO BOX 192,305300
PO BOX 417,330500
PO BOX 523,206100
5725 SHERIER PL NW,164400
5725 SHERIER PL NW,164400
359 STETLER AVE,358300
7220 BAKER RD,182100
7220 BAKER RD,164200
7220 BAKER RD,125300
7220 BAKER RD,276700
7220 BAKER RD,181700
PO BOX 265,200900
GARY A LANDERS TRUSTEE,171400
2370 RANCH DR,206100
3246 ALKIRE WAY,51400
PO BOX 584,78500
179 CLARABELLE LANE,240000
PO BOX 504,334800
1605 ELM CREEK VIEW APT 306,153700
211 2ND ST NW  APT 1602,238000
211 2ND ST NW  APT 1602,238000
12460 TURQUOISE TERRACE ST,32500
4915 W 63RD TER,182600
1717 2ND ST STE A,178000
522 BANCROFT ST,200000
7973 GRASMERE DR,215000
1212 TAWNY LANE,200900
229 COUNTY RD 84W,312200
6700 W OLD SHAKOPEE RD UNIT 230,173900
3410 EMERSON AVE,80900
PO BOX 511,49700
20523 125TH STREET CT E,68900
2185 PRIMROSE LN,103500
2185 PRIMROSE LN,103500
5030 SNOW MESA DR,71100
5030 SNOW MESA DR,71100
255 COUNTY ROAD 101,117500
SUZANNE I BARNARD,159600
5112 EVERGREEN RIDGE DR,287000
P O BOX 333,261700
P O BOX 232,240900
PO BOX 265,36400
PO BOX 265,36400
1221 ST PAUL ST,69500
1221 ST PAUL ST,69500
2110 370TH ST,242600
P O BOX 336,253100
THE MARY E MARTIN TRUST,48400
TO WILBERT A & MARTHA L MARTIN,18100
TO WILBERT A & MARTHA L MARTIN,267800
8505 WEST 1ST PL,19400
BARBARA J TANTON & LORRAINE E MOREAU,182500
9179 WCR 24,226100
PO BOX 341,220000
PO BOX 443,168700
6325 WCR 23,221700
PO BOX 584,30500
PO BOX 584,26900
GAYLE W HARMS TRUSTEE,177500
120 DENVER TRAIL CT,188000
2464 S OWASSO PL,311400
2464 S OWASSO PL,311400
PO BOX 172,200000
28 W MONUMENT UNIT 502,87200
3200 VAN DORN ST,83000
2104 45TH AVE,251400
2185 PRIMROSE LN,103500
2185 PRIMROSE LN,103500
9857 KITTREDGE ST,220900
PO BOX 849,55300
PO BOX 849,173100
167 HOLLIS ST,215600
8101 E DARTMOUTH AVE UNIT 25,6000
12204 KNOX,49700
PO BOX 104,153900
PO BOX 1766,275600
& DOROTHEA,173100
3089 EDISON CT,191400
P O BOX 325,150100
3408 DORIS WALKER TRL,365300
751 CYPRESS DR,221700
PO BOX 331,298300
