mailingAddr1,bldAssessedVal
2822 ADAMS ST,
200 ALDER LN,76336
1901 LINDEN DR,61236
141 VALLEY VIEW WAY,20696
500 PINE TREE LN,34586
495 VALENCIA DR,39426
792 PINE BROOK RD,19900
45 WILD HORSE,97096
480 TIMBER LN,31840
872 TIMBER LN,28767
807 TIMBER LN,86135
86 S CEDAR BROOK RD,50848
252 PINE TREE LN,37508
1903 LINDEN DR,
200 TIMBER LN,30320
535 PINE BROOK RD,54988
193 N CEDAR BROOK RD,33432
PO BOX 7037,40914
1010 PINE BROOK RD,17512
1010 PINE BROOK RD,17512
98 PINE BROOK RD,33432
48 ALDER LN,
168 MEADOWLOOK WY,40914
873 TIMBER LN,34371
4010 PINE OAK LN,35024
168 ALDER LN,43732
3132 LINDEN DR,40556
746 BOW MOUNTAIN RD,26475
65 BEAVER WAY,25974
301 PINE BROOK RD,44847
1330 TIMBER LN,32326
2936 LINDEN DR,60982
1306 N CEDAR BROOK RD,31840
2401 BROADWAY,35613
226 HIGH VIEW DR,22925
2410 OCEAN PARK BLVD UNIT 6,2900
6100 STONEGATE RUN,83023
229 ALDER LN,57917
1959 TIMBER LN,35024
99 MEADOWLOOK WY,31840
28 PINE BROOK RD,41113
194 MEADOWLOOK WAY,37659
2794 LINDEN DR,38240
2794 LINDEN DR,38240
19 WAGNER CIR,31880
2263 LINDEN DR,22598
2596 ALTA CT,31840
463 TIMBER LN,25607
1266 TIMBER LN,46311
37 WAGNER CIR,31776
37 WAGNER CIR,31776
50 WAGNER CIR,67978
2322 LINDEN DR,27741
500 TIMBER LN,57662
1211 LINDEN DR,33830
805 PINE BROOK RD,38383
2002 LINDEN DR,30964
619 PINE BROOK RD,19900
2488 HERMITAGE HILL LN,
66 TIMBER LN,29380
2394 LINDEN DR,30367
476 N CEDAR BROOK RD,19820
2900 LINDEN DR,60217
3034 LINDEN DR,29022
46 BEAVER WAY,27757
14 PINE BROOK RD,50809
14 PINE BROOK RD,50809
574 N CEDAR BROOK RD,26531
212 WILD HORSE CIR,33989
174 N CEDAR BROOK RD,17910
855 TIMBER LN,74227
153 MEADOWLOOK WY,21787
4331 N GILA RD,29977
76 PINE TREE LN,37014
98 PINE TREE LN,26212
69 WILD HORSE CR,32326
607 N CEDARBROOK RD,29356
2030 LINDEN DR,37874
425 NORTH CEDAR BROOK RD,47314
18 BEAVER WAY,30304
565 TIMBER LN,25981
1976 LINDEN DR,33217
TREVOR JED HARRIS,25878
188 WILD HORSE CIR,49081
67 WILD HORSE CIR,
166 MEADOWLOOK WY,33902
548 TIMBER LN,33002
570 TIMBER LN,31378
16 PINE BROOK RD,30312
95 MEADOWLOOK WAY,64357
98 N CEDAR BROOK RD,26523
101 MEADOWLOOK WAY,75413
44 BEAVER WAY,40461
1981 TIMBER LN,33432
2695 LINDEN DR,53937
214 PINE BROOKE RD,60496
14660 ROYAL WAY,
14660 ROYAL WAY,
2810 LINDEN DR,38694
43 BEAVER WAY,41535
22 PINE BROOK RD,31283
59 BEAVER WAY,20744
250 PINE TREE LN,79600
2039 LINDEN DR,40142
PO BOX 18088,85642
128 ALDER LN,29261
3505 TURTLE CREEK BLVD APT 14C,50681
211 PINE BROOK RD,35358
982 N CEDAR BROOK RD,19900
36 RIDGE DR,33949
770 N CEDAR BROOK RD,37340
1579 LINDEN DR,13429
772 N CEDAR BROOK RD,27645
1577 LINDEN DR,52464
1390 TIMBER LN,23880
316 PINE TREE LN,21525
118 MEADOWLOOK WAY,33432
222 HIGH VIEW DR,46057
2008 GRAND VIEW AVE,31840
137 ALPINE WAY,57949
3090 STANFORD AVE,27852
213 HIGH VIEW DR,18802
211 HIGH VIEW DR,31768
2818 RUSSELL ST,29802
1016 N CEDARBROOK RD,26212
63 ALPINE WY,48747
PO BOX 791,
2700 SUNSHINE CANYON DR,
118 BRISTLECONE WY,34777
104 PINE TREE LN,35955
DELLA D KING SMITH,35319
62 N CEDAR BROOK RD,31211
62 N CEDAR BROOK RD,31211
70 RITZ COVE,49686
100 VALLEY VIEW WAY,68703
859 TIMBER LN,21412
60 N CEDAR BROOK RD,33074
66 BEAVER WY,22885
535 WILD HORSE CIR,30248
227 BALSAM LN,34363
7652 KENNETT SQUARE,58609
562 WILD HORSE CIR,27064
215 WILD HORSE CIR,43700
151 WILDCAT LANE,30407
138 WILDCAT LN,35263
132 WILDCAT LN,67660
178 BALSAM LN,35120
3903 BELLAIRE BLVD,96658
413 WILD HORSE CIR,61754
1581 TIMBER LN,33058
228 ALPINE WAY,32373
1472 TIMBER LN,55425
27 HAWK LN,37316
293 ALPINE WAY,30678
115 HAWK LN,41814
1788 TIMBER LN,35414
1788 TIMBER LN,35414
50 BRISTLECONE WAY,25743
230 BRISTLECONE WAY,50450
116 HAWK LN,23219
65 BRISTLECONE WAY,12736
2331 PINE KNOLL DR UNIT 10,17759
335 WILD HORSE CIR,28306
18 WILDCAT LN,28234
417 WILD HORSE CIR,30479
551 PINE TREE LN,32636
67 HAWK LN,38343
254 PINE TREE LN,37508
2371 LINDEN DR,39800
411 WILD HORSE CIR,25568
2315 LINDEN DR,32015
225 BRISTLECONE WAY,49129
2 HAWK LN,40294
60 BRISTLECONE WAY,12585
1670 TIMBER LN,13532
1670 TIMBER LN,13532
1350 TIMBER LN,98067
375 PINE TREE LN,39896
1614 TIMBER LN,35358
1822 TIMBER LN,31744
1629 TIMBER LN,31585
1629 TIMBER LN,31585
407 ALPINE WAY,33010
412 WILD HORSE CR,32214
291 WILD HORSE CIR,43334
225 BALSAM LN,30113
2396 34TH ST,28457
1161 OAKLEY AVE,30375
2433 LINDEN DR,30964
161 BRISTLECONE WAY,28202
333 WILD HORSE CIR,35311
1055 ADAMS CIR UNIT 501,25456
PO BOX 1624,43191
100 WILDCAT LN,13930
360 ALPINE WAY,62972
360 ALPINE WAY,62972
382 ALPINE WAY,69650
382 ALPINE WAY,69650
158 SPENCER BROOK RD,
478  WILD HORSE CIR,33790
,17592
555 WILD HORSE CIR,33711
415 WILDHORSE CIR,28162
25 BRISTLECONE WY,27303
335 PINE TREE LN,35255
93 HAWK LN,28935
16 HAWK LN,39768
2064 TIMBER LN,39959
420 ALPINE WAY,26252
594 WILD HORSE CIR,34467
60 HAWK LN,42339
115 HAWK LN,
168 S CEDAR BROOK RD,28258
9596 METRO AIRPORT AVE,242780
12 BOULDER VIEW LN,134285
12 BOULDER VIEW LN,134285
80 BOULDER VIEW LN,140192
177 BOULDER VIEW LN,40652
209 BOULDER VIEW LN,39474
209 BOULDER VIEW LN,39474
35 FIR LN,29333
57 FIR LN,19104
201 S CEDAR BROOK RD,18308
71 ACORN LN,59780
304 S CEDAR BROOK RD,29301
129 FIR LN,36409
365 S CEDAR BROOK RD,17512
JULIETTE THERESE HARRINGTON TRUST,59716
109 BOULDER VIEW LN,61873
188 S CEDAR BROOK RD,26610
107 BOULDER VIEW LN,64874
302 PEARL ST,46630
302 PEARL ST,46630
DAHLBERG TRUST,21054
497 S CEDAR BROOK RD,69324
4 ACORN LN,45834
4 ACORN LN,45834
455 S CEDAR BROOK RD,46319
414 S CEDAR BROOK DR,14328
42 ARROWLEAF CT,41647
151 BOULDER VIEW LN,57216
1011 LINDEN DR,37102
7 ACORN LN,46948
104 ACORN LN,28147
271 S CEDAR BROOK RD,34626
274 S CEDAR BROOK RD,58379
499 S CEDAR BROOK RD,55346
57 ACORN LN,47362
25 S CEDAR BROOK RD,32556
122 FIR LN,17512
53 LA COSTA DR,13532
238 S CEDAR BROOK RD,26666
225 BOULDER VIEW LN,33480
95 ACORN LN,79600
6821 W COUNTY RD 12,24206
4949 BROADWAY STE 105,66896
4949 BROADWAY STE 105,66896
65 ARROWLEAF CT,32716
266 QUADRO VECCHIO DR,282580
389 S CEDAR BROOK RD,22686
PO BOX 4120 PMB 46144,103353
PO BOX 17608,41408
230 S CEDARBROOK RD,57081
200 BOULDER VIEW LN,254720
3945 WILCOXSON DR,22734
15 ARROWLEAF CT,37603
320 S CEDAR BROOK RD,27183
58 ACORN LN,34316
275 BROOKSIDE CT,39800
285 BROOKSIDE CT,57829
3445 PENROSE PL UNIT 230,177190
245 WILLOW GLEN,37651
255 BROOKSIDE CT,91938
230 GREEN ROCK DR,72834
220 GREEN ROCK DR,66227
& PATRICIA LIVING TRUST,47760
2201 4TH ST,
235 GREEN ROCK DR,95122
250 GREEN ROCK DR,95122
270 GREEN ROCK DR,57471
2235 KNOLLWOOD DR,69650
145 GREEN ROCK DR,58267
115 GREEN ROCK DR,48556
200 GREEN ROCK DR,47123
2200 KNOLLWOOD DR,59859
1900 9TH ST STE 300,105048
2265 KNOLLWOOD DR,75620
2265 KNOLLWOOD DR,75620
215 GREEN ROCK DR,94326
215 GREEN ROCK DR,94326
265 BROOKSIDE CT,31999
2230 KNOLLWOOD DR,67023
265 WILLOW GLEN,65431
255 WILLOW GLEN,83309
2250 KNOLLWOOD DR,32238
290 GREEN ROCK DR,25233
2280 KNOLLWOOD DR,49511
295 GREEN ROCK DR,27064
235 WILLOW GLEN,42188
2186 KNOLLWOOD DR,74633
2106 KNOLLWOOD DR,29054
2175 KNOLLWOOD DR,127360
2126 KNOLLWOOD DR,64675
PO BOX 17998,108654
32 EVERETT AVE,122743
259 SPRUCE ST,21890
2115 KNOLLWOOD DRIVE,33034
2116 KNOLLWOOD DR,48954
248 SPRUCE ST,38208
2125 KNOLLWOOD DR,61451
2135 KNOLLWOOD DR,35422
2176 KNOLLWOOD DR,55720
250 SPRUCE ST A,22256
252 SPRUCE ST,23140
ALAN N PRESS,21635
299 SPRUCE CT,25496
265 SPRUCE ST,27860
2195 KNOLLWOOD DR,67668
258 SPRUCE ST,68360
249 SPRUCE ST,64874
299 GREEN ROCK DR,64874
1750 30TH ST #1-131,95122
1131 WHITE HAWK RANCH DR,184958
1131 WHITE HAWK RANCH DR,184958
7127 MARSHALL RD,18706
251 RIDGE RD,15641
1065 CHERRYVALE RD,9807
244 VAQUERO DR,35008
7456 EMPIRE DR,26666
7391 BROCKWAY DR,12680
409 MAJESTIC VIEW DRIVE,43119
1688 PARK LAKE DR,24119
1650 PARK LAKE DR,22957
1650 PARK LAKE DR,22957
8841 TAHOE CT,35191
546 THERESA DR,33870
3302 FALLING BRK,
3302 FALLING BRK,
3302 FALLING BRK,
3302 FALLING BRK,
575 PONDEROSA DR,42530
3027 N 75TH ST,13460
7225 EMPIRE DR,60704
7279 ARAPAHOE RD,23259
8280 VALMONT RD,
3082 N 75TH ST,6353
REBECCA HILL MALEY - LIFE ESTATE,
8245 CREEK HOLLOW RD,33520
7929 FAIRVIEW RD,24039
8556 ARAPAHOE RD,
8556 ARAPAHOE RD,12837
1538 N 75TH ST,180477
1538 N 75TH ST,180477
8002 ARAPAHOE RD,21673
377 ORD DR,35358
7560 PANORAMA DR,27987
7797 VALMONT RD,15212
555 CLOVER LN,15124
19 RIDGE RD,20672
KATHLEEN R,21962
1305 S FOOTHILLS HWY,68329
1305 S FOOTHILLS HWY,68329
BETH A BONNICKSEN,17990
TIMOTHY P & NANCY DUFFICY,
500 COUNTRY LN,24310
750 S CHERRYVALE RD,11717
750 S CHERRYVALE RD,11717
750 S CHERRYVALE RD,11717
528 THERESA DR,18197
635 ORD DR,25647
30 RIDGE RD,36950
1930 CENTRAL AVE STE B,126469
4770 BASELINE RD #200,28266
1253 GOSHUTE WAY,
7184 SPRING CT,76615
1530 VASSAR DR NE,39450
475 S 68TH ST,32851
1859 75TH ST,16301
169 76TH ST,18037
3675 N 75TH ST,23880
SARAH SHAUGHNESSY,32923
7291 BROCKWAY DR,17735
7240 TERRACE PL,15132
715 MERRY LN,13795
324 N 76TH ST,15227
1084 GAPTER RD,15809
72 RIDGE RD,39299
6858 S RIVERWOOD WAY,181859
KATHERINE ANNE BOWEN,11677
461 MEADOW RIDGE DR,26777
175 CORDOVA CT,30861
7324 CORTEZ LN,33933
2088 MEAD DR,19112
344 S 68TH ST,36208
2155 MEAD DR,19781
7485 S BOULDER RD,13962
7555 BULMORE RD,11940
2260 PLACID DR,17592
1777 BROADWAY,
792 TOM COBB DR,69395
7850 VALMONT RD,17777
7801 VALMONT RD,73192
7801 VALMONT RD,73192
819 GAPTER RD,12657
5712 BASELINE RD,24835
6708 BASELINE RD,41456
6708 BASELINE RD,
#12 BENCHMARK DR,
6860 FAIRVIEW DR,13930
832 FOX HILL CT,8923
2073 WILLOW CREEK DR,50833
1486 OLD TALE RD,43780
841 GAPTER RD,10571
2273 S FILLMORE ST,
340 S 68TH ST,34029
2222 WILLOW CREEK DR,55720
988 75TH ST,39000
2210 PARK LAKE DR,25384
3504 N 95TH ST,
2345 N 95TH ST,13699
PO BOX 791,
96 CABALLO CT,38495
7214 SPRING CT,27645
5692 SOUTH BOULDER RD,140964
6087 MARSHALL DR,
805 WALNUT ST,46545
PO BOX 791,
958 CHERRYVALE RD,12895
7448 CRANNELL DR,13142
6612 WHALEY DR,25615
224 VAQUERO DR,35159
85 BARCELONA DR,31410
300 S 68TH ST,30415
800 BAY RIDGE AVE,20768
6933 MARSHALL RD,17337
790 S CHERRYVALE RD,20578
1375 WALNUT ST.SUITE 10,3245013
1375 WALNUT ST.SUITE 10,3245013
1375 WALNUT ST.SUITE 10,3245013
1375 WALNUT ST.SUITE 10,3245013
7391 SPRING DR,29794
238 RIDGE RD,33782
6801 BASELINE RD,35525
900 69TH ST,47298
9450 VALMONT DR,33480
450 ORD DR,27860
6137 GALE DR,14248
7235 TERRACE PL,22017
7700 BASELINE RD,
175 76TH ST,15881
7554 BROCKWAY DR,17719
550 WEWOKA DR,20059
25 BARCELONA DR,21158
25 BARCELONA DR,21158
924 BROADWAY - 13 UCB,1769
445 MAJESTIC VIEW DR,135320
776 CHERRYVALE RD,74530
3375 75TH ST,16628
325 S 68TH ST,42769
4130 CHIPPEWA DR,120
1123 CHERRY VALE,9918
165 BARCELONA DR,47354
1104 CHERRYVALE RD,15920
539 COUNTRY LN,17011
7736 O CONNOR RD,20975
436 WEWOKA DR,25154
7869 BROCKWAY DR,21484
1777 BROADWAY,
BETTY ELIZABETH ANN TRUST,19351
7807 BROCKWAY DR,22789
502 ORD DR,16804
292 PARAGON DR,70486
795 NEWLAND CT,8270
963 CHERRYVALE RD,22041
550 BARI CT,39450
568 THERESA DR,24174
7530 CRANNELL DR,12800
498 WEWOKA DR,18722
7690 WATONGA WAY,24159
400 ORD DR,23999
7875 EDELWEISS CT,129350
301 JACKSON ST,31681
2172 CHAMPLAIN DR,31856
PO BOX 17250,45611
1507 OLD TALE RD,41392
723 GAPTER RD,13787
1027 PARAGON DR,52377
1724 PARK LAKE DR,16628
8350 QUIVIRA DR,12991
7224 AUGUSTA DR,21086
1038 CHERRYVALE RD,17649
7770 VALMONT RD,40660
1436 OLD TALE RD,17217
8119 WILLOW BEND CT,20632
72 MINEOLA CT,16796
PO BOX 471,
7750 SPRING DR,37827
7372 SPRING DR,36672
1123 CHERRYVALE RD,45770
993 GAPTER RD,23904
7385 BROCKWAY DR,27271
845 5TH ST,13882
PO BOX 791,4234
PO BOX 791,
201 REGENTS ADMIN CTR,
537 N 76TH ST,38399
833 CHERRYVALE RD,9441
228 BAXTER FARM LN,143202
2143 WILLOW CREEK DR,21213
7275 TERRACE PL,18849
1219 CHERRYVALE RD,10682
7995 BROOK HOLLOW CT,29468
8032 FOX RIDGE CT,20003
7190 S BOULDER RD,24572
7190 S BOULDER RD,31140
6000 WHALEY DR,158608
7262 SOUTH BOULDER RD,290
1300 CANYON BLVD,
7132 BASELINE RD,
7132 BASELINE RD,77654
7132 BASELINE RD,77654
6976 SOUTH BOULDER RD,18858
200 S 68TH ST,74642
7978 BASELINE RD,21490
7978 BASELINE RD,21490
491 THERESA DR,14575
8929 TAHOE LN,30097
954 GAPTER RD,22089
998 CHERRYVALE RD,26989
PO BOX 19243,38965
5648 BASELINE RD,31936
PO BOX 958,
PO BOX 958,
PO BOX 958,
PO BOX 958,
PO BOX 958,
PO BOX 958,
3 BENCHMARK DR,50092
4 BENCHMARK DR,49272
9 BENCHMARK DR,55075
201 REGENTS ADMIN CTR,
201 REGENTS ADMIN CTR,
7313 CORTEZ LN,25440
1050 LINDEN AVE,124410
1050 LINDEN AVE,124410
2300 WILLOW CREEK DR,99970
PO BOX 200093,13134
280 S 68TH ST,11789
JANE ALEXANDRA,15100
P.O. BOX 776290,
6137 BASELINE RD,12919
7718 VALMONT DR,6010
7235 EMPIRE DR,25122
231 PONDEROSA DR,48357
1777 BROADWAY,
8321 BASELINE RD,73160
1385 CHERRYVALE RD,9822
7667 SOUTH BOULDER RD,18985
1566 OLD TALE RD,26921
206 BARCELONA DR,36576
1040 GAPTER RD,14392
7969 FAIRVIEW RD,27390
1777 BROADWAY,
7490 EGGLESTON DR,16151
7490 EGGLESTON DR,16151
541 CLOVER LN,17090
2036 75TH ST,16445
233 VAQUERO DR,35374
7860 ARAPHAOE,9998
7602 ARAPAHOE RD,26013
7977 BASELINE RD,
2142 PARK LAKE DR,24963
7602 ARAPAHOE RD,9966
7602 ARAPAHOE RD,9966
3002 MELISSA LN,25076
7899 BASELINE RD,9166
7899 BASELINE RD,16549
DERBER FAMILY TRUST,22336
602 CLOVER LN,14248
2187 MEAD DR,18603
2213 PLACID DR,39569
7351 PANORAMA DR,35621
9307 VALMONT DR,21262
9307 VALMONT DR,21262
1409 OLD TALE RD,24310
701 75TH ST,22495
8022 FOX RIDGE CT,20473
1179 CHERRYVALE RD,26754
201 SKYLARK WAY,87560
795 FOX HILL CT,19900
954 SPRING DR,31235
705 MERRY LN,11725
6988 S BOULDER RD,21404
617 ORD DR,30200
222 S 68TH ST,93142
1777 BROADWAY,
1777 BROADWAY,15641
518 CLOVER LN,14623
7 SABRE LN,51167
8802 LAKESIDE CT,51422
777 GAPTER RD,13015
777 GAPTER RD,13015
7394 SPRING DR,32548
8201 BASELINE RD,71043
8958 TAHOE LN,15761
2 BENCHMARK DR,40381
1457 OLD TALE RD,31760
201 REGENTS ADMIN CTR,91437
2257 MEAD DR,25297
PO BOX 471,
P O BOX 471,27115
3151 95TH ST,10279
3151 95TH ST,10279
7300 DIDRICKSON CT,103480
445 THERESA DR,23896
7761 BROCKWAY DR,15450
1193 OLD TALE RD,24143
1221 OLD TALE RD,16063
3415 95TH ST,53587
7340 EMPIRE DR,37539
3889 75TH ST,22982
6750 WHALEY DR,27327
8014 SAGEBRUSH CT,15124
8985 TAHOE LN,19239
2917 FAIRWAY DR,128180
262 S 68TH ST,33901
7100 BASELINE RD,80396
35 BARCELONA DR,47839
PO BOX 620997,36801
1402 OLD TALE RD,19749
7469 SPRING DR,78804
7435 SPRING DR,70048
7236 SPRING CT,29372
7289 SPRING DR,54478
7302 SPRING CT,25583
14729 182ND ST,
7592 PANORAMA DR,51780
7572 PANORAMA DR,47752
738 SKYWAY DR,49177
7580 SKYWAY CT,32135
7566 SKYWAY CT,37810
7534 SKYWAY CT,48492
7529 SKYWAY CT,48906
7553 SKYWAY CT,61579
777 SKYWAY DR,36154
7542 PANORAMA DR,51613
7542 PANORAMA DR,51613
7542 PANORAMA DR,51613
7514 PANORAMA DR,43127
7496 PANORAMA DR,47298
310 SAN MARCO DR,
310 SAN MARCO DR,47967
777 PANORAMA CT,37810
7420 PANORAMA DR,50458
7380 PANORAMA DR,56070
PO BOX 20160,51366
996 PARAGON DR,30248
7366 EMPIRE DR,36162
390 S 68TH ST,41679
1080 GALE AVE,9552
1777 BROADWAY,
PO BOX 1,93085
7701 BROCKWAY DR,36449
669 WELLS DR,32851
2289 PARK LAKE DR,133728
1021 GAPTER RD,11303
2153 CHAMPLAIN DR,22774
2211 CHAMPLAIN DR,26228
2162 PLACID DR,26105
273 VAQUERO DR,59700
93 RIDGE RD,21810
400 THERESA DR,22821
FORD 1/3 INT EACH,
1589 NORTHROP ST,17512
1275 CHERRYVALE RD,16533
1275 CHERRYVALE RD,16533
7659 OCONNOR RD,18786
585 COUNTRY LN,25862
5656 CASCADE,53268
11 BENCHMARK DR,38089
1350 OLD TALE RD,53045
ROBERT OWEN CAMPBELL,54407
7035 SOUTH BOULDER RD,35209
2192 PLACID DR,47665
2123 MEAD DR,22908
2123 MEAD DR,22908
621 WEWOKA DR,20497
1192 RED ASH LANE,12426
6968 SOUTH BOULDER RD,24930
1777 BROADWAY,
75 RIDGE RD,17250
75 RIDGE RD,17250
370 PARAGON DR.,62916
673 DIXON RD,209380
1575 ITHACA DR,
6757 WHALEY DR,38359
417 ORD DR,24907
1141 CHERRYVALE RD,10881
200 S 68TH ST,19438
200 S 68TH ST,19438
2124 MEAD DR,17297
7439 PANORAMA DR,34419
3002 75TH ST,35175
546 DONN CT,44974
546 DONN CT,44974
2223 MEAD DR,23402
1112 GAPTER RD,13285
PO BOX 1833,22057
7701 O CONNOR RD,23769
1750 30TH ST #329,25870
1156 GAPTER RD,11423
76 CHERRYVALE RD,30415
PO BOX 791,
7444 EMPIRE RD,62151
1771 75TH ST,17830
1970 75TH ST,15140
526 APOLLO DR,30519
194 VAQUERO DR,99500
6058 SIMMONS DR,15737
880 GAPTER RD,18388
880 GAPTER RD,18388
5125 N 51ST,30566
WIER UND 1/2 INT EACH,37946
MARY JANE,41472
649 ORD DR,17878
6393 SOUTH BOULDER RD,1027
7353 BROCKWAY DR,13038
4571 SOUTH MEADOW DR,35024
8061 FOX RIDGE CT,21484
395 MAJESTIC VIEW DR,39354
8870 TAHOE CT,31657
445 S 68TH ST,31474
905 69TH ST,9751
338 S FREMONT ST UNIT 419,23363
6812 S BOULDER RD,19590
8996 TAHOE LN,20664
1775 QUINCE AVE,98745
327 MAJESTIC VIEW DR,75620
327 MAJESTIC VIEW DR,75620
542 COUNTRY LN,13866
7762 BROCKWAY DR,16453
5718 WESHEIMER #1806,75477
PO BOX 741,
14900 AKRON ST,22208
6843 FAIRVIEW DR,13890
HARTSFIELD & ELIZABETH CRAIG,17361
510 PONDEROSA DR,31402
6164 GALE DR,11677
712 PARAGON DR,34865
PO BOX 791,
PO BOX 791,
PO BOX 791,
5717 ARAPAHOE AVE,177857
6998 BASELINE RD,29548
630 PARAGON DR,27152
355 PARAGON DR,52297
213 VAQUERO DR,41479
7526 EMPIRE DR,25759
7316 EMPIRE DR,37539
17099 W 55TH DR,18308
471 THERESA DR,20059
545 THERESA DR,42268
509 SPRING DR,29412
1305 OLD TALE RD,35192
PO BOX 18057,15470
1777 BROADWAY,45250
8021 FOX RIDGE CT,24405
435 S 68TH ST,56174
1483 OLD TALE RD,21253
7630 SPRING DR,44576
7331 SPRING CT,23243
7487 PANORAMA DR,39354
1310 OLD TALE RD,18897
7332 CRANNELL DR,21731
7332 PANORAMA DR,28314
988 75TH ST,
7666 OCONNOR RD,23116
7266 S BOULDER RD,23107
1119 GALE AVE,28887
620 WEWOKA DR,19462
6973 BASELINE RD,32470
810 MARSHALL RD,12012
7670 BERWICK CT,40540
2247 CHAMPLAIN DR,21890
6138 GALE DR,17257
1533 OLD TALE RD,53332
2249 PARK LAKE DR,52958
2268 PARK LAKE DR,41129
841 PARAGON DR,41145
2955 PARK LAKE DR,54024
2955 PARK LAKE DR,54024
7533 PANORAMA DR,27804
7437 SOUTH BOULDER RD,14145
721 CHERRYVALE RD,8859
2080 PARK LAKE DR,25759
7612 BROCKWAY DR,15021
7996 VALMONT RD,142165
3298 N 95TH ST,16151
726 CHERRYVALE RD,4131
726 CHERRYVALE RD,4131
2481 WILLOW CREEK DR,16724
9081 TAHOE LN,22734
753 PARAGON DR,49368
753 PARAGON DR,49368
PO BOX 962,24055
PO BOX 791,
1526 SPRUCE ST STE 260,
7257 SPRING CT,23060
6800 FAIRVIEW DR,9870
PO BOX 791,
3409 MIRA VISTA CR,18077
7638 BROCKWAY DR,15164
7656 BROCKWAY DR,19956
7625 EAST CAMELBACK RD #237B,10451
PO BOX 7212,26125
1080 69TH ST,
7892 EDELWEISS CT,95520
7540 GOODHUE BLVD,12760
584 THERESA DR,18809
7555 SPRING DR,37571
7550 SPRING DR,40954
1093 69TH ST,19358
793 MERRY LN,11208
222 RIDGE RD,23880
5454 CONESTOGA CT,22590
7550 EGGLESTON DR,16000
7449 CRANNELL DR,17695
559 WEWOKA DR,16772
PO BOX T,411307
ROBERT W ERICKSON,45102
PO BOX 471,
7580 EGGLESTON DR,14153
360 S 68TH ST,25162
500 COMMERCE ST STE 700,988001
10465 JOHNSON CT,17862
2500 75TH ST,15024
PO BOX 17850,
PO BOX 17850,
PO BOX 17850,6368
PO BOX 17850,6042
260 RIDGE RD,35486
WILBERT A JACOBY LIVING TRUST,19534
LAEL E MONTGOMERY,21333
1029 SPRING DR,51764
9303 VALMONT RD,25026
1125 GAPTER RD,10348
504 PARAGON DR,50920
PO BOX 20548,25855
191 PARAGON DR,40653
6937 MARSHALL RD,27295
8495 ARAPAHOE,37826
NATLIE PORTMAN MARSH,17058
881 SPRING DR,26985
6710 ARAPAHOE RD,15960
310 SKY LARK WAY,17958
2259 PLACID DR,19287
2930 N LAKERIDGE TRL,23769
463 PONDEROSA DR,52369
859 GAPTER RD,36608
1245 CHERRYVALE,13094
1270 OLD TALE RD,47760
1130 CHERRYVALE RD,16294
160 PONDEROSA DR,87560
775 CHERRYVALE RD,24278
1010 69TH,51354
3451 95TH ST,45629
1051 GAPTER RD,14455
7482 CRANNELL DR,14073
6780 WHALEY DR,29221
PO BOX 791,
PO BOX 791,
PO BOX 791,
1310 SOUTH PARK DR,
7850 EDELWEISS CT,53085
7274 PANORAMA DR,30837
185 CORDOVA CT,42689
7390 BROCKWAY DR,16867
193 VAQUERO DR,36735
2323 WILLOW CREEK DR,44194
652 THERESA DR,37938
2087 MEAD DR,20585
3835 NORWOOD CT,4577
5955 E BASELINE RD,9106
531 COLUMBINE AVE,17563
525 ORD DR,19200
7305 SPRING CT,32166
443 WEWOKA DR,21476
PO BOX 791,
PO BOX 791,
2885 E AURORA UNIT 17,
7220 TERRACE PL,13325
1325 OLD TALE RD,24143
6186 GALE DR,11988
7531 SPRING DR,56198
PO BOX 343,18205
203 VAQUERO DR,50146
6800 BASELINE RD,112992
3795 N 75TH ST,8836
3795 N 75TH ST,8836
754 WELLS DR,36290
7977 BASELINE RD,16931
7977 BASELINE RD,
PO BOX 791,
LIVING TRST,17393
88 CABALLO CT,29229
969 SPRING DR,30988
PO BOX 958,
PO BOX 958,
PO BOX 958,
PO BOX 958,
PO BOX 958,
PO BOX 958,
1205 RED ASH LN,35462
PO BOX 18842,16716
555 THERESA DR,26220
605 THERESA DR,43915
7641 SPRING DR,79600
PO BOX 791,
4875 PEARL EAST CR STE 100,281271
2666 PARK LAKE DR,81980
8042 FOX RIDGE CT,25496
STARK WILLIAM R & SOLEDAD A,18260
7509 PANORAMA DR,28656
567 CLOVER LN,31840
7175 FOUR RIVERS RD,5325
321 MAJESTIC VIEW DR,12338
832 GAPTER RD,11614
169 CORDOVA CT,23243
1019 69TH ST,10109
436 WEWOKA DR,26013
898 GAPTER RD,16875
1060 WAITE ST,10889
7321 BROCKWAY DR,14623
7534 BROCKWAY DR,19430
7347 CRANNELL DR,27112
8721 ARAPAHOE AV,28553
P O BOX T,33553
1555 OLD TALE RD,19900
1375 WALNUT ST.SUITE 10,
4775 WALNUT ST  SUITE C,79199
487 CLOVER LN,27621
PO BOX 471,
417 WEWOKA DR,35350
1410 CHERRYVALE RD,13915
2278 CHAMPLAIN DR,21205
650 LONGS PEAK DR,37444
253 76TH ST,10841
7350 GOODHUE BLVD,35191
7656 WATONGA WAY,29102
821 SPRING DR,29349
535 APOLLO DR,29603
38 S ZINNIA WAY,13723
813 CHERRYVALE RD,10826
111 RIDGE RD,26586
1777 BROADWAY,
375 S 68TH ST,34737
1275 CHERRYVALE RD,6209
1275 CHERRYVALE RD,6209
